// ■オルド済みの相手と無理矢理寝取りイベント

bl_fadeout
bgm_chg,64
zin_old_init
zin_old_img_pid,pid1,1
zin_old_msg,綺麗な体だ。p_name2とは何回やったんだ？,pid4
zin_old_msg,・・・call_pid14に教える必要は無いでしょ。やるなら早く済ませて,pid1
zin_old_msg,随分と冷たいな。これから二人で愛し合うって言うのに。しかし早くしろと言うのならしてやろう,pid4
zin_old_msg,んんっ・・・うぅ・・・本当にしちゃった・・・。ごめんなさい・・・,pid1
zin_old_msg,謝ることはないだろう。一回も二回も同じだ。さあ動くぞ！,pid4
zin_old_msg,あぁんっ！・・・もう少しゆっくりしてっ！いきなり激しくされたら痛いでしょ！,pid1
zin_old_msg,面倒な女だ・・・。自分の立場が分かっているのか？今はcf_pid4がp_name1を使ってやっているんだ。遠慮などするか！,pid4
zin_old_msg,ああっ、ちょ、ちょっとっ、あっ、いやっ！んぅぅっ、痛いってばっ、やぁんっ！,pid1
zin_old_msg,これくらいの方が好きなくせに！前はこんなもんじゃ無かっただろうが,pid4
zin_old_msg,はぁっ・・・ぁんっ・・・。あなたって本当に自分勝手ねっ！全然変わってないわっ！,pid1
zin_old_msg,お互い様だ！口やかましいのを直さないと、旦那にも嫌われるぞ！？,pid4
zin_old_msg,もぅ・・・大きなお世話よっ・・・はぁあ・・・もっと優しくっ・・・！,pid1
zin_old_msg,少し黙ってろ。今日はお前の体を貪り尽くしてやるんだ,pid4
zin_old_msg,あっ・・・あぁっ！はぁ、はぁっ・・・あぁんっ！,pid1
zin_old_msg,そこっ、いいのっ！気持ちいいっ！もっとじゅぽじゅぽしてぇ！ああぁあっ！,pid1
zin_old_msg,やっと調子が出てきたな。望み通り突いてやる！どうだっ！？,pid4
zin_old_msg,ああぁっ！いいっ、これ好きぃ！はあぁあああんっ！感じちゃうぅう！,pid1
zin_old_msg,自分から腰振ってるじゃないか。旦那のことはもういいのかよ？,pid4
zin_old_msg,あの人は・・・そういうの淡泊な人だから・・・。crんぅぅ、止まってないで動いてよぉ,pid1
zin_old_msg,へぇ。それじゃあp_name1は欲求不満ってわけだ。それなら楽しまないとな！,pid4
zin_old_msg,ひゃぁん！そうっ、そうなのぉ！cf_pid1、溜まっちゃって・・・っ！もっと、もっと激しくかき回してっ！あっ、あっ、はぁぁっ・・・,pid1
zin_old_msg,あぁ・・・かわいいな、p_name1。もう出てしまいそうだ,pid4
zin_old_msg,あっ、はぁ、んっぁ・・・。いいよ・・・中で出して・・・。今日は、大丈夫だから・・・,pid1
zin_old_msg,よし、出してやる！お前の子宮、cf_pid4の精液で一杯にしてやるっ！,pid4
zin_old_msg,うん、出してっ！cf_pid1の奥に出してぇっ！どろどろのman_str、精液で満たして欲しいのっ！,pid1
zin_old_msg,ああ、出る、出るぞ、p_name1！,pid4
zin_old_msg,うん、来てっ、p_name4！あっ、あっ、あっ・・・っ！,pid1
zin_flush,pid1
zin_old_msg,イくううぅううううぅ！あぁあぁあああああぁあっ！中に出されてイっちゃてるうぅうう！！,pid1
zin_flush_one,pid1
zin_old_msg,はぁ、はぁ、はぁ・・・。んっ・・・あったかい・・・。あぁぁっ、まだ抜かないで・・・ね・・・,pid1
zin_old_msg,ははは、p_name1は甘えん坊だな。このまま二回戦といくか,pid4
zin_old_msg,やぁん、また硬くなって・・・。もうっ・・・エッチなんだから,pid1
zin_old_msg,お前だってまだ物足りないだろう？満足するまで付き合ってやるからな。そら、キスしてやる,pid4
zin_old_msg,んむぅっ・・・・ん・・・・・・はぁぁ・・・,pid1
zin_old_msg,もう、好き放題してくれちゃって・・・。勝手にするといいわ,pid1
zin_old_msg,ああ、勝手にするぞ。今夜は寝かさないからな・・・,pid4
zin_old_msg,p_name4とp_name1は一日中愛し合った,0

add_sinmitu,pid1,30
txtload,u_npc_marry/ntr_end
